Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
214	66	0	3.35319105	326.931829	327.166109	326.778376	327.699571	0.921194871	1.57159783	0	100	0	0	3
215	66	0	3.36886016	326.928165	327.142002	326.778376	327.699571	0.921194871	1.57159783	0	100	0	0	3
216	66	0	3.38452928	326.929016	327.117922	326.778376	327.695025	0.916648718	1.57159783	0	100	0	0	3
217	66	0	3.4001984	326.92544	327.093873	326.778376	327.651949	0.873572287	1.57159783	0	100	0	0	3
218	67	0	3.41586751	326.926061	327.071189	326.778376	327.647603	0.869226999	1.57159783	0	100	0	0	3
219	67	0	3.43153663	326.92222	327.048521	326.778376	327.647307	0.868931076	1.57159783	0	100	0	0	3
220	67	0	3.44720575	326.955989	327.026917	326.778376	327.344532	0.566155389	1.57159783	0	100	0	0	3
221	67	0	3.46287486	326.669398	327.005897	326.669398	327.344532	0.67513348	1.57159783	0	100	0	0	3
222	67	0	3.47854398	326.672615	326.9849	326.669398	327.343219	0.673820882	1.57159783	0	100	0	0	3
223	68	0	3.4942131	326.670043	326.963912	326.669398	327.343219	0.673820882	1.57159783	0	100	0	0	3
224	68	0	3.50988222	326.672503	326.942952	326.669398	327.340658	0.671259421	1.57159783	0	100	0	0	3
225	68	0	3.52555133	326.669433	326.922013	326.669398	327.340658	0.671259421	1.57159783	0	100	0	0	3
226	68	0	3.54122045	326.671542	326.901103	326.669398	327.23824	0.568841601	1.57159783	0	100	0	0	3
227	68	0	3.55688957	326.668191	326.887438	326.668191	327.23824	0.570048443	1.57159783	0	100	0	0	3
228	69	0	3.57255868	326.671554	326.87379	326.668191	327.23824	0.570048443	1.57159783	0	100	0	0	3
229	69	0	3.5882278	326.66824	326.860113	326.668191	327.23824	0.570048443	1.57159783	0	100	0	0	3
230	69	0	3.60389692	326.752358	326.844929	326.668191	327.102791	0.434600124	1.57159783	0	100	0	0	3
231	69	0	3.61956603	326.511995	326.829995	326.511995	327.102791	0.590796476	1.57159783	0	100	0	0	3
232	69	0	3.63523515	326.685699	326.820398	326.511995	327.102791	0.590796476	1.57159783	0	100	0	0	3
233	70	0	3.65090427	326.682087	326.810755	326.511995	327.102791	0.590796476	1.57159783	0	100	0	0	3
234	70	0	3.66657339	326.682559	326.801058	326.511995	327.102791	0.590796476	1.57159783	0	100	0	0	3
235	70	0	3.6822425	326.434326	326.78369	326.434326	327.102791	0.668465389	1.57159783	0	100	0	0	3
236	70	0	3.69791162	326.601443	326.768022	326.434326	327.058282	0.623955921	1.57159783	0	100	0	0	3
237	70	0	3.71358074	326.597954	326.760189	326.434326	327.058282	0.623955921	1.57159783	0	100	0	0	3
238	71	0	3.72924985	326.635395	326.746974	326.434326	326.955989	0.521663343	1.57159783	0	100	0	0	3
239	71	0	3.74491897	326.631467	326.742383	326.434326	326.955989	0.521663343	1.57159783	0	100	0	0	3
240	71	0	3.76058809	326.631853	326.737705	326.434326	326.955989	0.521663343	1.57159783	0	100	0	0	3
241	71	0	3.7762572	326.628086	326.732971	326.434326	326.955989	0.521663343	1.57159783	0	100	0	0	3
