Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
84	39	0	1.31620583	-0.450012804	-0.350880107	-0.460862619	-0.197913127	0.248408128	0.0116158186	0	4.6	0	0	3
85	39	0	1.33187495	-0.437114317	-0.358355144	-0.460862619	-0.207129459	0.250486076	0.0116671165	0	4.6	0	0	3
86	39	0	1.34754406	-0.422440338	-0.364979312	-0.460862619	-0.207129459	0.251873879	0.0117112887	0	4.6	0	0	3
87	39	0	1.36321318	-0.409368996	-0.371299298	-0.460862619	-0.227110573	0.233752046	0.0117487201	0	5	0	0	3
88	39	0	1.3788823	-0.402492994	-0.376779998	-0.460862619	-0.235179544	0.225683075	0.0117806934	0	5.2	0	0	3
89	40	0	1.39455142	-0.400475233	-0.381945489	-0.460862619	-0.236156355	0.224706264	0.0118056232	0	5.2	0	0	3
90	40	0	1.41022053	-0.401613293	-0.387116018	-0.460862619	-0.243201109	0.21766151	0.0118253516	0	5.4	0	0	3
91	40	0	1.42588965	-0.404231303	-0.392148212	-0.460862619	-0.25900344	0.201859179	0.0118408339	0	5.8	0	0	3
92	40	0	1.44155877	-0.40820975	-0.396810909	-0.460862619	-0.274635052	0.186227567	0.0118525869	0	6.3	0	0	3
93	40	0	1.45722788	-0.413015575	-0.4011353	-0.460862619	-0.283857029	0.17700559	0.0118606765	0	6.7	0	0	3
94	41	0	1.472897	-0.417768278	-0.405320027	-0.460862619	-0.289679735	0.171182884	0.0118627677	0	6.9	0	0	3
95	41	0	1.48856612	-0.421702265	-0.409445731	-0.460862619	-0.298552679	0.16230994	0.0118609754	0	7.3	0	0	3
96	41	0	1.50423524	-0.424180499	-0.4133716	-0.460862619	-0.312898258	0.147964361	0.0118567144	0	8	0	0	3
97	41	0	1.51990435	-0.42470871	-0.416865677	-0.460862619	-0.329330188	0.131532431	0.0118494102	0	9	0	0	3
98	41	0	1.53557347	-0.422454244	-0.419775803	-0.460862619	-0.343225341	0.117637278	0.0118397721	0	10	0	0	3
99	42	0	1.55124259	-0.418004122	-0.42211264	-0.460862619	-0.353286337	0.107576282	0.0118235229	0	10.9	0	0	3
100	42	0	1.5669117	-0.413503218	-0.423994418	-0.460862619	-0.361578423	0.099284196	0.0118037419	0	11.8	0	0	3
101	42	0	1.58258082	-0.410606033	-0.425526531	-0.460862619	-0.371511323	0.0893512957	0.011781242	0	13.1	0	0	3
102	43	0	1.59824994	-0.410211631	-0.426735915	-0.460862619	-0.384928815	0.0759338036	0.0117581288	0	15.4	0	0	3
103	43	0	1.61391905	-0.411586678	-0.427568973	-0.460862619	-0.400475233	0.0603873861	0.0117307397	0	19.4	0	0	3
104	43	0	1.62958817	-0.413625105	-0.427968623	-0.460862619	-0.400475233	0.0603873861	0.0116956951	0	19.3	0	0	3
105	43	0	1.64525729	-0.415862586	-0.427941498	-0.460862619	-0.400475233	0.0603873861	0.0116558768	0	19.3	0	0	3
106	43	0	1.66092641	-0.417811549	-0.427498881	-0.460862619	-0.400475233	0.0603873861	0.0116154532	0	19.2	0	0	3
107	44	0	1.67659552	-0.419096067	-0.426616989	-0.460862619	-0.400475233	0.0603873861	0.011572235	0	19.1	0	0	3
108	44	0	1.69226464	-0.419219309	-0.425543451	-0.460862619	-0.400475233	0.0603873861	0.011527263	0	19	0	0	3
109	44	0	1.70793376	-0.417977095	-0.424381966	-0.460862619	-0.400475233	0.0603873861	0.01147943	0	19	0	0	3
110	44	0	1.72360287	-0.416063387	-0.423109725	-0.460862619	-0.400475233	0.0603873861	0.0114302065	0	18.9	0	0	3
111	44	0	1.73927199	-0.414367688	-0.421745817	-0.460862619	-0.400475233	0.0603873861	0.0113779494	0	18.8	0	0	3
